station,full,reduced,season,interchanges,code,network_rail_region,local_authority
Ashchurch for Tewkesbury,23610,37950,7250,0,ASC,Wales and Western,Gloucestershire
Ashfield,11068,31382,2780,0,ASF,Scotland,Glasgow City
Ashford (Surrey),210424,230376,175280,0,AFS,Southern,Surrey
Ashford International,515534,1334850,806538,522092,AFK,Southern,Kent
Ashley,2380,2420,1866,0,ASY,North West and Central,Cheshire East
Ashtead,237760,283612,175450,0,AHD,Southern,Surrey
Ashton-Under-Lyne,60886,76958,30180,0,AHN,North West and Central,Tameside
Ashurst (Kent),6268,7226,5348,0,AHS,Southern,Kent
Ashurst New Forest,15496,45616,13454,0,ANF,Southern,Hampshire
Ashwell and Morden,32432,41840,29940,0,AWM,Eastern,Cambridgeshire
Askam,15000,29798,6818,0,ASK,North West and Central,Cumbria
Aslockton,6838,6618,2458,0,ALK,Eastern,Nottinghamshire
Aspatria,8508,15804,1650,0,ASP,North West and Central,Cumbria
Aspley Guise,832,1136,2178,0,APG,North West and Central,Central Bedfordshire
Aston,147282,162870,77854,16145,AST,North West and Central,Birmingham
Atherstone,39938,50148,5032,0,ATH,North West and Central,Warwickshire
Atherton,65082,76160,38618,0,ATN,North West and Central,Wigan
Attadale,588,176,0,0,ATT,Scotland,Highland
Attenborough,34344,8924,3666,0,ATB,Eastern,Nottinghamshire
Attleborough,49298,60276,22344,0,ATL,Eastern,Norfolk
Auchinleck,12966,21458,900,0,AUK,Scotland,East Ayrshire
Audley End,111674,246454,144516,2883,AUD,Eastern,Essex
Aughton Park,24488,60412,27292,0,AUG,North West and Central,Lancashire
Aviemore,34142,55832,2266,147,AVM,Scotland,Highland
Avoncliff,8956,8436,1420,0,AVF,Wales and Western,Wiltshire
Avonmouth,65754,6434,16144,0,AVN,Wales and Western,Bristol
Axminster,22558,207728,73556,0,AXM,Southern,Devon
Aylesbury,253394,291268,198280,6315,AYS,North West and Central,Buckinghamshire
Aylesbury Vale Parkway,29558,33766,23572,0,AVP,North West and Central,Buckinghamshire
Aylesford,42444,32592,42780,0,AYL,Southern,Kent
Aylesham,28540,36528,31924,0,AYH,Southern,Kent
Ayr,224376,445952,55634,30337,AYR,Scotland,South Ayrshire
Bache,92390,200066,15414,0,BAC,North West and Central,Cheshire West and Chester
Baglan,12620,1952,3208,0,BAJ,Wales and Western,Neath Port Talbot
Bagshot,33890,38626,12928,0,BAG,Southern,Surrey
Baildon,66952,52802,87020,0,BLD,Eastern,Bradford
Baillieston,29074,48520,15466,0,BIO,Scotland,Glasgow City
Balcombe,35666,64456,23382,0,BAB,Southern,West Sussex
Baldock,122878,205092,59200,0,BDK,Eastern,Hertfordshire
Balham,1099482,1650784,938492,229266,BAL,Southern,Wandsworth
Balloch,72590,178870,27440,0,BHC,Scotland,West Dunbartonshire
Balmossie,690,128,354,0,BSI,Scotland,Angus
Bamber Bridge,19124,38072,10782,0,BMB,North West and Central,Lancashire
Bamford,14070,31394,56,0,BAM,North West and Central,Derbyshire
